HudongItem1,relation,HudongItem2
糙米,develop_from,颖果
蔗糖,develop_from,葡萄糖
蔗糖,develop_from,果糖
浆果,develop_from,古柯
多个片段,develop_from,泛素核糖体L40融合蛋白基因mRNA
小RNA,develop_from,原始转录本
稻穗,develop_from,花
S-和R-蛋氨酸亚砜,develop_from,蛋氨酸残基
根表皮细胞,develop_from,单核细胞
复合体,develop_from,Hd1与Ghd7
叶芽,develop_from,芽
花芽,develop_from,芽
双组分信号级联传递通路,develop_from,Edh1与水稻中未知的组蛋白激酶
双组分信号级联传递通路,develop_from,Edh1
花粉粒,develop_from,小孢子
种子,develop_from,胚珠
果实,develop_from,子房
复合物,develop_from,OsRR1
枝芽,develop_from,芽
真果,develop_from,雌蕊的子房
假果,develop_from,花托、花萼或者花序轴等其他部分
类似内外稃的器官,develop_from,浆片和颖片
丝胺酸,develop_from,天冬酰胺
叶原基,develop_from,命运未决定的细胞
已经决定命运的细胞,develop_from,已经决定命运的细胞
用于制造淀粉的物质,develop_from,蔗糖
SSA,develop_from,SA
胚,develop_from,受精卵
胚乳,develop_from,受精极核
颖片,develop_from,侧生小花
胚乳细胞,develop_from,初生胚乳核
子囊孢子,develop_from,菌核
分生孢子,develop_from,胎盘孢子
稻穗,develop_from,稻
稻谷,develop_from,稻花
胚芽,develop_from,胚珠
子房,develop_from,胚乳
淀粉体单元,develop_from,淀粉体
新淀粉体,develop_from,原淀粉体
基质浓密小泡,develop_from,大淀粉体
蛋白体Ⅰ,develop_from,粗面内质网
proteinbodyⅠ,develop_from,粗面内质网
PbⅠ,develop_from,粗面内质网
蛋白体Ⅰ,develop_from,RER
proteinbodyⅠ,develop_from,RER
PbⅠ,develop_from,RER
蛋白贮藏液泡,develop_from,液泡
氦,develop_from,氢
另一种物质,develop_from,一种物质
不同的形式,develop_from,生命
纤维状结构,develop_from,物质
接收子复合物,develop_from,钠钾帮浦与无接收子酪胺酸磷酸酶
气态水,develop_from,蒸汽
小枝,develop_from,稻株
稻穗,develop_from,水稻
胚,develop_from,第一个精子
胚乳,develop_from,第二个精子
三聚体化合物三聚氰胺,develop_from,氨基氰分子
三聚体化合物,develop_from,氨基氰分子
三聚氰胺,develop_from,氨基氰分子
不凝结气体,develop_from,外部空气
稳固的配合键,develop_from,有机的配体可以和中心的金属原子
菌核,develop_from,尸体
类似胚乳的器官,develop_from,母体胚囊的其他细胞
主要养份储存处,develop_from,胚囊外的细胞
底万,develop_from,阿拉伯植物
稻曲病,has_a_morphology_trait,黄绿色或黑绿色的孢子球
稻飞虱病,has_a_morphology_trait,叶子明显发黄
稻飞虱病,has_a_morphology_trait,植物枯萎
稻水蝇病,has_a_morphology_trait,植株发育迟缓
水稻草状矮缩病,has_a_morphology_trait,严重发育不全
黄化叶,has_a_morphology_trait,叶子变黄
水稻胡麻斑病,has_a_morphology_trait,叶斑小
水稻黄斑驳病毒病,has_a_morphology_trait,发育迟缓
水稻黄斑驳病毒病,has_a_morphology_trait,分蘖减少
水稻黄斑驳病毒病,has_a_morphology_trait,叶片斑驳
水稻黄斑驳病毒病,has_a_morphology_trait,花期延迟
水稻黄斑驳病毒病,has_a_morphology_trait,圆锥花序不完全出现
水稻黄斑驳病毒病,has_a_morphology_trait,植物死亡
水稻东格鲁病,has_a_morphology_trait,叶片橙黄色
水稻东格鲁病,has_a_morphology_trait,植株发育迟缓
水稻东格鲁病,has_a_morphology_trait,矮小瘦弱
水稻东格鲁病,has_a_morphology_trait,分蘖量降低
恶苗病,has_a_morphology_trait,植株异常伸长
恶苗病,has_a_morphology_trait,分蘖少
恶苗病,has_a_morphology_trait,产谷前死亡
鞘腐病,has_a_morphology_trait,近穗部的叶鞘呈圆形
鞘腐病,has_a_morphology_trait,穗伸出障碍
水稻齿叶矮缩病,has_a_morphology_trait,发育不良
耐寒性,has_a_morphology_trait,叶色变化
耐冷性,has_a_morphology_trait,叶色变化
抗寒性,has_a_morphology_trait,叶色变化
直穗病,has_a_morphology_trait,籽粒不育
直穗病,has_a_morphology_trait,穗子保持直立
水稻细菌性白叶枯病,has_a_morphology_trait,白叶枯
黄绿叶基因,has_a_morphology_trait,黄绿叶
白叶枯病,has_a_morphology_trait,半透明黄色小斑
白叶枯病,has_a_morphology_trait,灰白色
白叶枯病,has_a_morphology_trait,枯槁色
白叶枯病,has_a_morphology_trait,波纹状的黄绿或灰绿色病斑
隐性高秆,has_a_morphology_trait,茎秆最上部节间异常伸长
黑粉病,has_a_morphology_trait,小的黑色脓疱或者条纹
黑粉病,has_a_morphology_trait,短喙状或圆柱状突起
褐飞虱病,has_a_morphology_trait,茎秆枯黄
褐飞虱病,has_a_morphology_trait,叶片萎蔫
褐飞虱病,has_a_morphology_trait,整株死亡
褐飞虱病,has_a_morphology_trait,育性降低
杂种不育性,has_a_morphology_trait,雌配子不育
dl(t)表型,has_a_morphology_trait,叶片披垂
其他等位基因,has_a_morphology_trait,花器官发育异常
dm型半矮秆突变体DMF-1,has_a_morphology_trait,除第二节间伸长受抑制外，其它接近正常
dm型半矮秆突变体DMF-1,has_a_morphology_trait,第二节间伸长受抑制
日本晴的qSW5基因,has_a_morphology_trait,粒宽的增加
来自Kasalath的显性等位基因,has_a_morphology_trait,散生性状
杂种劣势现象,has_a_morphology_trait,分蘖少，茎秆短，叶色灰绿
杂种劣势现象,has_a_morphology_trait,分蘖少
杂种劣势现象,has_a_morphology_trait,茎秆短
杂种劣势现象,has_a_morphology_trait,叶色灰绿
sdt3基因的品种,has_a_morphology_trait,矮生
sdt3基因的品种,has_a_morphology_trait,多分蘖
sdt3基因的品种,has_a_morphology_trait,茎秆较软
sdt3基因的品种,has_a_morphology_trait,叶色偏淡
sdt3基因的品种,has_a_morphology_trait,抽穗较早
半矮秆突变单株,has_a_morphology_trait,高度明显变矮
转入拟南芥AtBAK1基因的水稻,has_a_morphology_trait,半矮化
转入拟南芥AtBAK1基因的水稻,has_a_morphology_trait,主根缩短
转入拟南芥AtBAK1基因的水稻,has_a_morphology_trait,对24-表油菜素内酯过于敏感
转入拟南芥AtBAK1基因的水稻,has_a_morphology_trait,半矮化、主根缩短和对24-表油菜素内酯过于敏感
osmyoXIB缺乏突变体,has_a_morphology_trait,花粉败育
ep3突变体,has_a_morphology_trait,直立穗
lp的突变体,has_a_morphology_trait,花枝梗增多
lp的突变体,has_a_morphology_trait,籽粒数增加
lp的突变体,has_a_morphology_trait,抗倒伏
Os02g15950功能缺失突变体,has_a_morphology_trait,穗直立
Os02g15950功能缺失突变体,has_a_morphology_trait,气孔保卫细胞小于野生型
Os02g15950功能缺失突变体,has_a_morphology_trait,叶片光合能力和气孔导度均减弱
不育单株,has_a_morphology_trait,花药细小空瘪
d3突变体,has_a_morphology_trait,株高变矮
d3突变体,has_a_morphology_trait,分蘖增多
D3突变体,has_a_morphology_trait,腋生分生组织正常形成
d6突变体,has_a_morphology_trait,株高矮化
spl5突变体,has_a_morphology_trait,棕褐色斑点
D18的突变,has_a_morphology_trait,株高显著降低
d10突变体,has_a_morphology_trait,株高变矮
d10突变体,has_a_morphology_trait,分蘖增多
AA-pi21,has_a_morphology_trait,病斑较小
新泰矮,has_a_morphology_trait,茎秆较细
缺失D35,has_a_morphology_trait,严重矮化
不含有Sub1A基因,has_a_morphology_trait,淹涝敏感
Mh-1,has_a_morphology_trait,茎秆最上部节间异常伸长
Mh-1,has_a_morphology_trait,穗长增加
褐飞虱接虫,has_a_morphology_trait,茎秆枯黄
褐飞虱接虫,has_a_morphology_trait,叶片萎蔫
褐飞虱接虫,has_a_morphology_trait,育性降低
褐飞虱接虫,has_a_morphology_trait,整株死亡
bc3突变体,has_a_morphology_trait,轻微矮化
bc3突变体,has_a_morphology_trait,节间变短
bc3突变体,has_a_morphology_trait,主根长度变短
fc1突变体,has_a_morphology_trait,株高半矮化
fc1突变体,has_a_morphology_trait,穗长和分蘖数不变
Hd3aRNAi转基因植株,has_a_morphology_trait,晚花
Hd3aRNAi转基因植株,has_a_morphology_trait,分蘖数目明显减少
s73突变体,has_a_morphology_trait,早花
s73突变体,has_a_morphology_trait,早花和对光周期不敏感表型
flo-1,has_a_morphology_trait,谷粒形状正常
flo-1,has_a_morphology_trait,胚乳粉状不透明
过表达FLO2,has_a_morphology_trait,增大稻谷籽粒的大小
矮秆突变体dbs1,has_a_morphology_trait,胚基本正常
矮秆突变体dbs1,has_a_morphology_trait,茎和根的生长发育出现严重异常
巨大胚突变体,has_a_morphology_trait,比原始品种Kinmaze的胚大2倍
粳稻9522突变体,has_a_morphology_trait,株高较野生型矮
粳稻9522突变体,has_a_morphology_trait,叶片短而微卷
d162(t),has_a_morphology_trait,株高为正常高度的四分之一左右
d162(t),has_a_morphology_trait,籽粒为正常大小的四分之一左右
d162(t),has_a_morphology_trait,结实很差
d162(t),has_a_morphology_trait,叶短而宽
水稻黄绿叶突变体ygl1,has_a_morphology_trait,前期叶片为黄色
水稻黄绿叶突变体ygl1,has_a_morphology_trait,后期叶色接近野生型
水稻黄绿叶突变体ygl1,has_a_morphology_trait,中期慢慢转绿
ygl1突变体,has_a_morphology_trait,较高的产量
反义Bel基因在W6154S的表达,has_a_morphology_trait,敏感致死
Kasalath,has_a_morphology_trait,茎秆较高并呈散生状
突变体B142,has_a_morphology_trait,节间生长过度
突变体B142,has_a_morphology_trait,株高近2倍于野生型
突变体B142,has_a_morphology_trait,GA过量
osmyoXIB突变体,has_a_morphology_trait,短日照下不育
osmyoXIB突变体,has_a_morphology_trait,长日照下可育
突变体植株ddu1,has_a_morphology_trait,矮化
FON3突变体,has_a_morphology_trait,超过10%的花中内稃、外稃和颖片的数目增加
突变体rim1-1,has_a_morphology_trait,不矮化
突变体rim1-1,has_a_morphology_trait,生长相对缓慢
突变体rim1-1,has_a_morphology_trait,根短小
突变体rim1-1,has_a_morphology_trait,叶尖有时卷曲
水稻散生突变体tac2,has_a_morphology_trait,分蘖期株型松散
水稻散生突变体tac2,has_a_morphology_trait,株型松散
T65-Plj,has_a_morphology_trait,叶片着色更浓重
OGR1突变,has_a_morphology_trait,生长缓慢
OGR1突变,has_a_morphology_trait,不育
ep3突变体,has_a_morphology_trait,花梗中小维管束数量和穗轴粗壮度显著增加
OsSH1转录水平的降低,has_a_morphology_trait,不落粒
ef8突变体,has_a_morphology_trait,开花提前
ef8突变体,has_a_morphology_trait,每穗粒数减少
ef8突变体,has_a_morphology_trait,叶片为轻微的暗绿色
zabra15突变体,has_a_morphology_trait,斑马叶
水稻第7染色体,has_part,du-1
硫酸,has_part,氧
蛋白产物,has_part,核苷酸结合位点
基因,has_part,内含子
细胞质膜受体蛋白,has_part,氨基酸
真核细胞,has_part,细胞器
矮泰引-2,has_part,半矮秆基因
水稻第3染色体,has_part,pms2
腋芽,has_part,分生组织
生物,has_part,细胞
水稻第5染色体,has_part,sd-g
染色质,has_part,核小体
Kasalath,has_part,Hd6等位基因
水稻第2染色体,has_part,Pi16
耐涝水稻,has_part,Sub1A基因
基因,has_part,启动子
第9染色体,has_part,Pi5
醇,has_part,羟基
FR13A,has_part,Sub1A-1
ALK基因,has_part,外显子
表现型,has_part,性状
sd1等位基因,has_part,外显子
肉桂醇脱氢酶,has_part,氨基酸
第1染色体短臂,has_part,QTLGn1
中枢神经系统,has_part,脑
第7染色体短臂,has_part,S20
调节子,has_part,氨基酸
蛋白产物,has_part,富亮氨酸重复序列
水稻第3染色体,has_part,ef4(t)
蛋白产物,has_part,氨基酸
蛋白质,has_part,氨基酸
FC1cDNA,has_part,外显子
系统,has_part,器官
12号染色体,has_part,抗褐飞虱基因
丙酮,has_part,氧
酒,has_part,乙醇
植物,has_part,水果
类受体蛋白激酶,has_part,丝氨酸-苏氨酸激酶区
植物,has_part,细胞
KNOX家族,has_part,OSH15
葡萄糖,has_part,碳
第2染色体,has_part,温敏不育基因
跨膜受体蛋白激酶,has_part,氨基酸
类受体蛋白激酶,has_part,近膜区
sd-1,has_part,内含子
寄生,has_part,宿主
植物学,has_part,植物生理学
突变体,has_part,腋生分生组织
OSH15cDNA,has_part,外显子
MtN3saliva家族,has_part,质膜蛋白
自然科学,has_part,生物学
物侯期,has_part,分蘖期
水稻第7染色体,has_part,E2
碳酸根,has_part,氧
第2染色体,has_part,tms5
水稻第11染色体,has_part,ZR536
水稻第9染色体,has_part,RM316
外显子,has_part,单核苷酸
甲醛,has_part,氢
解剖学,has_part,植物解剖学
水稻第11染色体,has_part,Pi18
第7染色体短臂,has_part,控制水稻F1花粉半不育的基因位点
丙酮,has_part,碳
水稻第11染色体的长臂末端,has_part,Pi-1
NBS域,has_part,激酶1a
类受体蛋白激酶,has_part,信号肽区
水稻第5染色体,has_part,Pi-10
丙烯,has_part,氧
4号染色体,has_part,抗性基因Bph6
D10cDNA,has_part,外显子
核糖体,has_part,rRNA
第8染色体,has_part,tms1
谷梅4号,has_part,Pigm
水稻第5条染色体,has_part,E30531
Hd6cDNA,has_part,外显子
第4染色体,has_part,Bph15
第11染色体,has_part,Xa-21
果糖,has_part,碳
水稻第1染色体,has_part,DBS1
跨膜蛋白,has_part,结构域
乙醇,has_part,碳
地球,has_part,生物圈
Aus品种Dular,has_part,S-9
水稻第2染色体,has_part,Amp1
Te-tep品种,has_part,Xa1
Pi9区域,has_part,NBS-LRR基因
4号染色体短臂,has_part,Bph17
第6染色体,has_part,主效基因Lm
类受体蛋白激酶,has_part,带电荷区
Cys,has_part,半胱氨酸
水稻第5条染色体,has_part,C903
生物,has_part,器官
D3cDNA,has_part,外显子
农垦58S,has_part,pms3
5号染色体,has_part,xa5
科学,has_part,实验
明恢63,has_part,Xa25(t)
水稻第3染色体,has_part,RG348
Xa27cDNA,has_part,外显子
MgO,has_part,镁
稻,has_part,淀粉
水稻第2染色体,has_part,同工酶基因Amp1
穗,has_part,xa13
OC,has_part,碳
Xa10,has_part,ED结构域
MtN3基因家族,has_part,Os8N3
第6染色体,has_part,D35
Calrose76,has_part,氨基酸
鳞茎,has_part,叶子
水稻,has_part,等位基因Sub1A-2
水稻第6染色体,has_part,Hd-1
化合物,has_part,原子
富亮氨酸重复域,has_part,LRR
蔗糖,has_part,红糖
Os8N3cDNA,has_part,外显子
分子,has_part,原子
DBS1,has_part,外显子
Pi5-2,has_part,外显子
BL1,has_part,水稻稻瘟病抗性基因
腺,has_part,细胞
第4染色体,has_part,du-4
水稻第2染色体,has_part,Pib基因
Pi-ta基因,has_part,外显子
氨,has_part,氮
蛋白,has_part,NBS结构域
产物,has_part,类SH2结构域
Pi2编码产物,has_part,氨基酸
水稻第4染色体,has_part,Xa2
RNA,has_part,核苷酸
第12染色体长臂,has_part,Bph18(t)
MOC1cDNA,has_part,外显子
水稻第12染色体,has_part,Pi-6
真核生物,has_part,细胞核
Hd3acDNA,has_part,外显子
产物,has_part,VHIID基序
第12染色体,has_part,单拷贝标记G2140
12号染色体,has_part,ph9
水稻第6染色体长臂,has_part,D35
内保护皮层,has_part,种皮
Pti1基因,has_part,内含子
花药,has_part,xa13
水稻第7染色体,has_part,E3
第4染色体,has_part,htd1
第12染色体,has_part,Bph10
丙烯,has_part,氢
羧基端,has_part,富亮氨酸重复域
化石燃料,has_part,石油
IRBB13,has_part,R基因xa13
水稻第7染色体,has_part,E1
xa5,has_part,外显子
Pi2,has_part,内含子
真核生物,has_part,真核细胞
脂蛋白,has_part,蛋白质
蛋白产物,has_part,蛋白产物
Kasalath,has_part,稻瘟病抗性基因
NBS域,has_part,激酶3a
水稻第1染色体,has_part,Rf3
水稻第6染色体,has_part,Pi-8
垩白,has_part,腹白
花冠,has_part,瓣
第11染色体,has_part,Wbph6
激酶蛋白,has_part,氨基酸
蛋白质,has_part,结构域
种群,has_part,生物
GS3cDNA,has_part,外显子
细胞,has_part,质膜
水稻第11染色体,has_part,Pi-k
水稻第6染色体,has_part,水稻叶瘟抗性位点Pi-z
拟南芥,has_part,脯氨酸
水稻第6染色体,has_part,Pi13
强恢复系IR24,has_part,第10染色体
细胞质,has_part,细胞骨架
垩白,has_part,心白
纤维素,has_part,碳
12号染色体,has_part,M36
气体,has_part,温度
水稻第3染色体,has_part,迟熟基因
叶,has_part,xa13
IRBB5,has_part,缬氨酸
植物,has_part,甘蔗
水稻品种Apura,has_part,Pi-6
内保护皮层,has_part,珠心层
羟基,has_part,氢
植株,has_part,花分生组织
窄叶青8号,has_part,抗叶瘟主效基因Pi-zh
突变,has_part,脱氧核糖核酸
Pi-ta基因,has_part,内含子
水稻第6染色体,has_part,ALK
农垦58S,has_part,光敏核不育基因
Pid3cDNA,has_part,外显子
类受体蛋白激酶,has_part,未知功能区
植物,has_part,籽粒
第2染色体,has_part,显性主效基因
水稻第5染色体,has_part,SSR5-51
DBS1,has_part,内含子
EUI1,has_part,内含子
水稻第9染色体,has_part,G103
Os8N3,has_part,启动子区
水稻,has_part,抗褐飞虱基因
窄叶青8号,has_part,Pi-zh
GA20ox,has_part,氨基酸
核苷酸,has_part,碱基
第12染色体,has_part,Bph9
第12染色体,has_part,pms3
煤,has_part,碳
粮食,has_part,谷物
花被,has_part,花冠
类受体蛋白激酶,has_part,氨基酸
跨膜蛋白,has_part,氨基酸
氨基端,has_part,NBS域
植物,has_part,躯体
第2染色体,has_part,Pid1基因
器官,has_part,组织
日本晴,has_part,谷氨酸
雄蕊,has_part,花药
植物学,has_part,植物解剖学
Te-tep品种,has_part,Xa2
东亚,has_part,台湾
植物,has_part,区域
第2染色体,has_part,S-32(t)
第3染色体,has_part,BC1
Xa10,has_part,跨膜结构
第3染色体,has_part,G1318
植物,has_part,甜菜
第7染色体,has_part,E3
根瘤素基因家族,has_part,Os-8N3
水稻第3染色体,has_part,Pti1基因
GA20氧化酶,has_part,氨基酸
ALK基因,has_part,内含子
第3染色体,has_part,Bph14
NBS-LRR类基因,has_part,Pi2
第10染色体,has_part,Rf4(t)
Pib基因,has_part,内含子
SSII同工酶,has_part,氨基酸
物侯期,has_part,抽穗期
非洲栽培稻,has_part,Ehd1
水稻第12染色体,has_part,Xa-25
BL1,has_part,Pib
氨基酸,has_part,羧基
水稻第6染色体,has_part,Pi9
蔗糖,has_part,白糖
Pi5-1,has_part,外显子
11染色体长臂,has_part,稻瘟病抗性基因Pik
短臂,has_part,Wbph6
垩白,has_part,背白
Swarnalata,has_part,抗性基因Bph6
类受体蛋白激酶,has_part,羧基端尾部区
NBS域,has_part,激酶1a、2和激酶3a
明恢63,has_part,Xa26
原生质体,has_part,内质网
水稻第1染色体,has_part,Pi-35(t)
利比亚粳型品种LAC23,has_part,稻瘟病抗性基因
类受体蛋白激酶,has_part,跨膜区
第3染色体短臂,has_part,Ef-cd
OsKO2基因,has_part,外显子
CDS,has_part,外显子
第8染色体,has_part,Os-8N3
蛋白激酶,has_part,丝氨酸
重组自交系,has_part,植株
第7染色体,has_part,E2
生物系统,has_part,生物系统
1号染色体,has_part,S-16
IR24,has_part,谷氨酸
Pik座位,has_part,稻瘟病抗性基因Pik
水稻第4染色体,has_part,du-4
第2染色体,has_part,Ef-3(t)
水稻第6染色体,has_part,Amp-3
水稻第4染色体,has_part,sd-t
水稻第10染色体,has_part,Rf4
水稻第11染色体的长臂,has_part,Pi-1
第3染色体,has_part,Ef-cd
水稻第10染色体,has_part,Ehd1
植株器官,has_part,种子
水稻第9染色体,has_part,Pi15
基因簇,has_part,质膜凝集素受体激酶基因
8号染色体,has_part,pss1
水稻第6染色体,has_part,Pi-26
第7染色体,has_part,E1
Bph-14cDNA,has_part,外显子
HTD1,has_part,外显子
水稻第3染色体,has_part,GS3
Pi2编码产物,has_part,富亮氨酸重复区
第5染色体,has_part,EUI
水稻第3染色体近着丝粒区,has_part,GS3
12号染色体,has_part,RZ261
灌木,has_part,树干
内质网,has_part,单加氧酶CYP714D1
水稻第11染色体,has_part,Pi-1
自然科学,has_part,生命科学
水稻,has_part,Sub1A-1等位基因
类受体蛋白激酶,has_part,富亮氨酸重复区
蛋白激酶,has_part,苏氨酸
水稻第6染色体,has_part,Pi2
EUI1,has_part,外显子
第4染色体,has_part,C820
苯,has_part,碳
蛋白,has_part,富亮氨酸结构域
第3染色体,has_part,R1925
水稻第8染色体,has_part,Hd5
水稻第6染色体,has_part,bph4
水稻第6染色体上RG64和RZ612之间,has_part,Pi-2
12号染色体,has_part,pms3
蛋白产物,has_part,跨膜结构域
Te-tep品种,has_part,Xa16
地球,has_part,地球大气层
Pi9,has_part,内含子
水稻第11染色体,has_part,Xa4
水稻第3染色体,has_part,RG191
sd1等位基因,has_part,内含子
花,has_part,花被
其他水稻品种,has_part,脯氨酸
蛋白,has_part,同源异型结构域
Xa10,has_part,氨基酸
Pi2编码产物,has_part,核苷酸结合位点
水稻第5染色体,has_part,SSR5-1
野生稻,has_part,Xa-21
第12染色体,has_part,光敏核不育基因
社会科学,has_part,人类学
Aus品种Dular,has_part,S-29(t)
区域,has_part,spl5基因
品种Tongil,has_part,稻瘟病抗性基因
种,has_part,种群
内保护皮层,has_part,果皮
水稻第4染色体,has_part,FC1
水稻第6染色体,has_part,Pgi-2
小粒野生稻,has_part,Pi9
sd-1,has_part,外显子
第8染色体,has_part,Pi-zh
d35,has_part,外显子
植物学,has_part,古植物学
OsKO2基因,has_part,内含子
蛋白产物,has_part,α-螺旋结构域
种子形态解剖学性状,is_a,性状
地上部生物量,is_a,生物学总量
多组织植物构造,is_a,性状
离体植物构造,is_a,性状
地上部鲜重,is_a,鲜重
地上部干重,is_a,干物质重量
穗发育性状,is_a,性状
含碳量,is_a,数量
维管组织形态解剖学性状,is_a,性状
稻瘟病,is_a,病害
白叶枯病,is_a,病害
纹枯病,is_a,病害
稻曲病,is_a,病害
恶苗病,is_a,病害
霜霉病,is_a,病害
籼稻,is_a,水稻
粳稻,is_a,水稻
早稻,is_a,水稻
晚稻,is_a,水稻
水稻,is_a,稻
旱稻,is_a,稻
杂交水稻,is_a,水稻
人工水稻,is_a,水稻
籽粒充实度,is_a,种子成熟度
籽粒硬度,is_a,种子成熟度
颖壳颜色,is_a,种子成熟度
籽粒水分,is_a,种子成熟度
粗度,is_a,生长量
叶片大小,is_a,生长量
分蘖力,is_a,生长量
株高,is_a,生长量
茎杆刚度,is_a,茎秆强度
生育期,is_a,时间
脆性胚乳,is_a,性状
花序苞片发育特征,is_a,性状
细辛,is_a,细辛属
黄芪,is_a,黄芪属
冬青,is_a,冬青科
乌蔹莓,is_a,葡萄科
桔,is_a,桔梗科
马齿苋,is_a,马齿苋科
太白红杉,is_a,红杉
鹅掌柴属,is_a,五加科
柳属,is_a,杨柳科
桃,is_a,蔷薇科
苹果,is_a,蔷薇科
当归,is_a,伞形科
秋海棠,is_a,秋海棠属
蒿柳,is_a,杨柳科
附地菜,is_a,紫草科
高等植物,is_a,植物
卫矛,is_a,卫矛科
堇,is_a,堇菜科
风毛菊,is_a,风毛菊属
鸢尾,is_a,鸢尾科
球花,is_a,蔷薇科
夹竹桃,is_a,夹竹桃科
荨麻,is_a,荨麻科
黄精,is_a,黄精属
胡椒,is_a,胡椒属
雪莲,is_a,风毛菊属
黄芪,is_a,豆科
堇,is_a,堇菜属
棉,is_a,锦葵科
猕猴桃,is_a,猕猴桃科
蒿柳,is_a,柳属
香花藤,is_a,夹竹桃科
鹅掌柴,is_a,鹅掌柴属
蓟,is_a,菊科
棕榈,is_a,棕榈科
榛属,is_a,桦木科
百合,is_a,百合属
蒲公英,is_a,菊科
郁金香,is_a,百合科
荸荠,is_a,莎草科
沙参,is_a,桔梗科
赤楠,is_a,蒲桃属
蒲公英属,is_a,菊科
松属,is_a,松科
灯心草属,is_a,灯心草科
百合,is_a,百合科
猕猴桃,is_a,猕猴桃属
卫矛属,is_a,卫矛科
蒺藜,is_a,蒺藜科
蛇舌草,is_a,白花蛇舌草
柯,is_a,壳斗科
杏李,is_a,蔷薇科
山茶,is_a,山茶科
大戟,is_a,大戟科
榆,is_a,榆科
堇菜属,is_a,堇菜科
芹属,is_a,伞形科
筇竹,is_a,禾本科
蒲公英,is_a,蒲公英属
杨属,is_a,杨柳科
苦苣,is_a,菊科
茶,is_a,山茶
筇竹,is_a,筇竹属
线虫类伤害抗性,is_a,抗性
深水胁迫,is_a,敏感性
干旱相关性状,is_a,性状
农药敏感性,is_a,抗性
木质素生物合成特性,is_a,性状
苞叶形态解剖学性状,is_a,性状
雌蕊形态解剖学性状,is_a,性状
干重,is_a,根重量
鲜重,is_a,根重量
内稃颜色,is_a,内外稃颜色
外稃颜色,is_a,内外稃颜色
小穗重,is_a,小穗形态解剖学性状
刺葵,is_a,棕榈科
莲藕,is_a,藕
玄参,is_a,玄参科
吊兰,is_a,吊兰属
沙棘属,is_a,胡颓子科
黄皮,is_a,黄皮属
槭树,is_a,槭树科
樟属,is_a,樟科
忍冬,is_a,忍冬属
忍冬,is_a,忍冬科
葛枣,is_a,猕猴桃科
秋海棠,is_a,秋海棠科
昆明鸡血藤,is_a,豆科
卫矛,is_a,卫矛属
冷杉属,is_a,松科
八角,is_a,八角属
芹,is_a,伞形科
茶,is_a,山茶科
忍冬属,is_a,忍冬科
黄花,is_a,萱草属
堇菜,is_a,堇菜属
天芥菜,is_a,紫草科
山樱花,is_a,蔷薇科
荸荠,is_a,荸荠属
胡椒,is_a,胡椒科
竹,is_a,禾本科
渥丹,is_a,百合属
盐爪爪,is_a,盐爪爪属
艾蒿,is_a,菊科
芋,is_a,芋头
连蕊茶,is_a,山茶科
百合属,is_a,百合科
