HudongItem1,relation,HudongItem2
粉苞苣,is_a,菊科
茱萸,is_a,山茱萸科
灯心草,is_a,灯心草属
臭冷杉,is_a,冷杉属
鬼针草,is_a,菊科
木通,is_a,木通科
番荔枝,is_a,番荔枝科
浆片长度,is_a,浆片形态解剖学特征
胚乳品质,is_a,性状
毛茛,is_a,毛茛科
槲寄生,is_a,槲寄生属
球兰,is_a,球兰属
画眉草,is_a,画眉草属
枇杷,is_a,枇杷属
红豆杉属,is_a,红豆杉科
毛冬青,is_a,冬青
茎角度,is_a,茎形态解剖学性状
蒸煮酿制品质,is_a,品质性状
木质素生物合成特性,is_a,生理过程相关性状
铁甲虫抗性,is_a,抗虫性
无患子,is_a,无患子科
山黄麻属,is_a,大麻科
大豆,is_a,豆科
十大功劳,is_a,小檗科
火棘,is_a,火棘属
女贞,is_a,女贞属
色木,is_a,色木槭
炮仗花,is_a,紫葳科
红桦,is_a,桦木属
大头茶属,is_a,山茶科
华紫珠,is_a,紫珠属
胆草,is_a,地胆草
小鸢尾,is_a,鸢尾属
飞天蜈蚣,is_a,麒麟叶
垂丝卫矛,is_a,卫矛属
鱼黄草,is_a,旋花科
女贞,is_a,木犀科
独活,is_a,伞形科
细辛属,is_a,马兜铃科
掌叶秋海棠,is_a,秋海棠科
蜡梅属,is_a,蜡梅科
沼柳,is_a,柳属
山牵牛属,is_a,爵床科
丹参,is_a,唇形科
桤木,is_a,桤木属
牛筋条,is_a,蔷薇科
鸢尾,is_a,鸢尾属
稠李,is_a,李属
旋花属,is_a,旋花科
地肤,is_a,藜科
紫斑风铃草,is_a,风铃草属
杞柳,is_a,柳属
水麻,is_a,荨麻科
云南山茶,is_a,山茶
清明花,is_a,清明花属
黄花,is_a,百合科
竹,is_a,竹属
岳桦,is_a,桦木属
八角茴香,is_a,八角
大戟,is_a,大戟属
熊猫,is_a,大熊猫
风仙花,is_a,凤仙花科
牛舌草属,is_a,紫草科
兰,is_a,兰科
紫珠,is_a,紫珠属
铁木,is_a,铁木属
水仙,is_a,水仙属
蒸煮酿制品质,is_a,指标
钠含量,is_a,矿质离子含量相关性状
水稻东格鲁病,is_a,病毒病
四照花,is_a,山茱萸科
刺槐,is_a,豆科
枇杷叶,is_a,枇杷
镜面草,is_a,荨麻科
草子,is_a,紫云英
梧桐,is_a,梧桐属
八宝,is_a,景天科
红光敏,is_a,敏感性
芽形态解剖学特征,is_a,地上部形态解剖学特征
生殖生长期,is_a,植物生命周期
营养生长期,is_a,植物生命周期
冬青卫矛,is_a,卫矛属
山芹,is_a,伞形科
矮鸢尾,is_a,鸢尾科
落羽松,is_a,杉科
减数分裂,is_a,细胞分裂周期
蜡梅,is_a,蜡梅属
断肠花,is_a,清明花属
黑弹树,is_a,榆科
耐寒性,is_a,耐受性
耐冷性,is_a,耐受性
抗寒性,is_a,耐受性
桃叶珊瑚,is_a,桃叶珊瑚属
香樟,is_a,樟
南酸枣属,is_a,漆树科
苦菜,is_a,菊科
榆叶梅,is_a,李属
八角茴香,is_a,八角属
画眉草属,is_a,禾本科
落叶松属,is_a,松科
长叶松,is_a,松科
毛山楂,is_a,山楂
灰杨,is_a,杨柳科
凤梨,is_a,凤梨科
紫鱼,is_a,笛鲷科
尼泊尔桤木,is_a,桤木属
中亚沙棘,is_a,胡颓子科
银柳,is_a,柳属
地黄,is_a,玄参科
知风草,is_a,画眉草属
高粱泡,is_a,蔷薇科
旋复花,is_a,菊科
山蜡梅,is_a,蜡梅属
鼠海豚,is_a,鼠海豚科
西康扁桃,is_a,李属
南洋楹,is_a,合欢属
马蹄金属,is_a,旋花科
红豆杉,is_a,红豆杉科
孩儿茶,is_a,儿茶
D3,is_a,F-box蛋白
性状本体,is_a,词汇表
产量性状,is_a,性状
生化性状,is_a,性状
形态解剖学特征,is_a,性状
其它杂项性状,is_a,性状
异交潜力,is_a,结实率
苗重,is_a,重量
植物构造,is_a,形态解剖学特征
胚发育性状,is_a,性状
根发育性状,is_a,性状
种子发育特征,is_a,性状
维管束发育性状,is_a,性状
生殖生长期,is_a,生殖生长阶段
组织发育性状,is_a,性状
地上部发育性状,is_a,性状
营养生长期,is_a,阶段
水稻抗褐飞虱主效基因,is_a,基因簇
Pib基因,is_a,NBS-LRR类抗病基因
低温发芽力,other,种子
秋季,other,冬季
每穗小花数,other,草本植物花序
水稻,other,蔗糖
Rf4,other,RM6737
单个,other,研究
Xa-21,other,遗传图距
杂种优势,other,生长旺盛
光学图像,other,模拟图像
遗传转化,other,转基因
9月,other,10月
耐寒性,other,耐冷性
Gn1b,other,Gn1a
钠含量,other,植株
焦糖,other,酱油
铁离子浓度,other,植株
唐朝,other,后梁
日本晴,other,Kasalath等位基因
总蛋白含量,other,可溶性总蛋白比
RM589,other,RM588
挥发性脂肪酸,other,抗性淀粉
茎杆角度,other,茎杆
遗传互补实验,other,抗性
真核细胞,other,膜
小穗形态解剖学性状,other,小穗
每穗种子数,other,种子数量
油酸含量,other,植株
染色体,other,遗传学
蒸腾速率,other,水分利用效率
整个根系干重,other,深根重比
4月,other,5月
误差,other,测得的量值
8月,other,9月
遗传率,other,总方差
钾含量,other,植株
不育,other,雄性
茎衰老,other,茎秆
物理,other,生物工程
小组,other,水稻
《时代周刊》,other,《时代》
植物,other,白糖
阿拉伯糖,other,L(+)-树胶醛糖
土星,other,天王星
相对生长率,other,植物生长
镉离子浓度,other,植株
酸,other,D-葡萄糖
线粒体,other,WA352
麦芽提取物百分比,other,酵母营养
HN57,other,华南农业大学
中世纪,other,文艺复兴
叶绿素b,other,叶绿素a/b比值
地球,other,火星
SSR标记,other,cM
光合作用速率,other,气孔关闭
国际市场,other,花卉
体型,other,繁殖力
胚乳品质,other,胚乳
十粒重,other,谷粒
花卉,other,份额
籼S,other,安农S-1
时期,other,煎熬
Rf4,other,RM171
成株期,other,穗瘟
Pp,other,Prp-a
感小种1,other,抗小种2
周期,other,染色质
先传播到阿拉伯,other,阿拉伯数字
日,other,24小时
浆片数目,other,植物
《词典》,other,《辞典》
防止肌肉损失,other,更快的分解转化为葡萄糖
安农S-1,other,雄性
光合作用总量,other,单位时间内植物固定的碳总量
原料,other,材料
杂交不亲和性,other,远缘杂交常表现不亲和
天王星,other,海王星
1月,other,2月
安农S-1,other,籼S
SSR,other,育性恢复基因
可溶性蛋白含量,other,可溶性总蛋白比
难度,other,测试题目的难易程度
懒人稻,other,越年再生稻
分离,other,重组
粒宽,other,粒重
R3192,other,C12072S
夏季,other,秋季
草本植物,other,颖片数
锌离子浓度,other,植株
小穗密度,other,小穗
过去,other,今日
金星,other,地球
康熙,other,雍正
冬季,other,春季
总茎杆数,other,体积茎杆数比
遗传工程,other,转基因
亚油酸含量,other,植株
干细胞,other,组织
发芽速率,other,种子
脱壳籽粒宽度,other,籽粒长宽比
发芽率,other,种子
节间的伸长,other,基因的表达上调
遗传工程,other,遗传转化
生物产量,other,收获指数
铁元素敏感性,other,铁毒性
叶绿素不足,other,叶子变黄
Hd3a,other,RFT1
蛋白,other,育性
小学,other,初中
耐冷性,other,抗寒性
职称,other,资格
信号,other,信息
粒宽,other,脱壳带皮籽粒
粒长,other,带壳带皮的果粒
完备性,other,充分性
董事长,other,董事会主席
稻曲病,other,稻曲病菌
价格,other,花叶
深水胁迫,other,洪水
成体干细胞,other,内细胞团
地上部形态解剖学特征,other,地上部
正常,other,根
种子数量,other,穗
胚芽鞘形态解剖学特征,other,胚芽鞘
小孢子,other,花粉
嘉庆,other,道光
硼离子浓度,other,植株
自交不亲和性,other,近亲繁殖
ω-3脂肪酸含量,other,植株
群体,other,敏感性
叶鞘直径,other,叶鞘
细胞,other,现象
种子数量,other,果实
等位基因,other,水稻驯化
光合作用,other,产物
心脏,other,大脑
总根数,other,地下根占总根比
发芽率,other,萌芽率
微卫星DNA,other,简单重复序列
巴基斯坦,other,巴基斯坦
互作,other,胞质
未发芽种子,other,发芽率
面板,other,面皮
群体,other,共同体
偏差,other,测定的平均值
生长率,other,体长的增量
水稻所结子实,other,稻谷
群体,other,共享共同价值观
类胡萝卜素含量,other,植株
误差,other,参考量值
Ptr(t),other,Pi-ta
遗传互补实验,other,稻瘟病
钾离子含量变化,other,钠离子竞争
磷酸盐含量,other,植株
总钾离子,other,钠钾含量比
F2群体,other,珍汕
含氮量,other,植株
随机分析法,other,抽样调查
总镁离子,other,镁钾含量比
种子休眠性,other,种子
显示分辨率,other,屏幕分辨率
颖果,other,种子
粒厚,other,籽粒
鞘腐病,other,稻帚枝霉菌
12点,other,相对含水量
含铜量,other,植株
动物,other,古生物学
日本,other,水稻
氧化酶活性,other,spl突变体细胞
SSR,other,长臂
氧化胁迫,other,植物
向光性,other,趋光性
杂交试验,other,血清学
血缘关系,other,形态学
硫浓度,other,植株
黑龙江,other,台湾省
紫外光,other,特性
叶绿素a,other,叶绿素a/b比值
2月,other,3月
群体,other,社群
单核苷酸,other,核苷酸
公司的负责人,other,董事长
钙离子浓度,other,植株
水稻,other,农业
会徽,other,绰号为“金丝雀”
砷含量,other,植物
qPS3,other,S19
花序形态解剖学特征,other,花序
首都,other,行政首府
Oskn3,other,植物矮化
总根数,other,TRTNB
普通野生稻,other,分蘖期
分子,other,晶体
组蛋白,other,RNA
粒重,other,谷粒
效率,other,驱动功率
植物叶片总面积,other,叶面积系数
国都,other,行政首府
国家队,other,我国农业
食品添加剂,other,历史
花柱颜色,other,花丝颜色
SSR,other,第10染色体
呼吸量,other,同一时间内代谢损失的碳总量
阿米巴,other,微孢子虫
TMS5,other,RNA酶ZS1
发芽种子,other,发芽率
首都,other,国都
荧光,other,萤光
QTLs,other,R1679
胁迫、光合作用速率或蒸腾,other,气孔关闭
偏差,other,表观误差
渗出液量,other,植物切割部分
镍离子浓度,other,植株
钼浓度,other,钼元素
千粒重,other,谷粒
公司的负责人,other,董事会主席
深根干重,other,深根重比
费用,other,企业在日常活动中发生的会导致所有者权益
Pti1基因,other,bp
Hd1,other,Hd3a
Pish,other,基因编码
经济产量,other,收获指数
铜离子浓度,other,植株
构型,other,包装程度
叶面积系数,other,叶面积指数
中国农业大学,other,清华大学
蒸煮酿制品质,other,食用品质
Pb,other,Prp-b
淀粉消化率,other,饲草料
浆片数目,other,研究
耐寒性,other,抗寒性
农垦,other,经济
芽形态解剖学特征,other,芽
有丝分裂,other,细胞
旋光性,other,蔗糖
Xnbp37,other,Ehd1
基因工程,other,转基因
而且,other,更新
珍汕,other,长臂
总茎杆数,other,分蘖数
消减值,other,冷糊状物粘度
安农S-1,other,N28S
德意志民主共和国,other,民主德国
3A28,other,3A20
苗,other,矮生
吲哚乙酸,other,生长素
整株占有总体积,other,体积茎杆数比
单板,other,面皮
叶绿素,other,细胞膜
遗传工程,other,基因工程
植物穿透到地下的根数,other,地下根占总根比
含铁量,other,植株
Xa-21,other,cM
解剖学,other,动物
越南,other,第2染色体
基因,other,孢子
粒数,other,株高
种子长宽比,other,籽粒长宽比
地上部向光性,other,胚芽鞘向光性
节间伸长,other,分生组织
遗传图,other,遗传连锁图
Pik,other,水稻驯化
Pik,other,等位基因
锰离子浓度,other,植株
不育基因座位,other,特异亲和基因座位
突变,other,生殖同源异型
光合势,other,叶面积持续期
稻谷脱去颖壳后,other,糙米
蛋白,other,WA352
遗传率,other,遗传方差
广狭及四至,other,幅员
可溶性总蛋白比,other,蛋白水解
偏差,other,个别测定值
阿拉伯糖,other,L(+)-阿戊糖
氧化磷,other,三磷酸腺苷
王春连,other,小种
笔记本电脑,other,便携式电脑
植物干重,other,植株
谷粒大小,other,种子大小
阿拉伯糖,other,果胶糖
总投资,other,固定资产投资
植物器官构造,other,植物器官
组织,other,修复系统
Amol1,other,cM
黄酮类化合物含量,other,植物
科学家,other,精子细胞
困难局面,other,亏损
抽穗期,other,Hd(t)
光合速率,other,水分利用效率
植物鲜重,other,植物
氰与青色相联系,other,普鲁士蓝即为一种氰化物
花序数目,other,花序
SSR,other,Rf6(t)
土地面积,other,叶面积系数
穗重,other,穗
潜力,other,潜在的能力和力量
棒状结构,other,化学
商业,other,克隆
德意志民主共和国,other,东德
特化细胞,other,新生组织
占位性块状,other,赘生物
鲜重,other,干重+水分
渗透调节能力,other,植物
朝阳,other,绿色科技
供能,other,分化
锌含量,other,植株
水稻,other,麦类
HAF1,other,蛋白酶
籽粒大小,other,果皮
呼吸速率,other,植物
职业水平评定,other,职称评定
干细胞,other,生育后代
光合能力,other,光合作用强度
叶片,other,叶温
水分,other,干旱相关性状
小穗数,other,小穗
首都,other,首要城市
花粉囊,other,小孢子囊
遗传学,other,真核生物
病原菌,other,Spl-2基因位点
农垦,other,盈利
脱壳籽粒长度,other,籽粒长宽比
杂种衰退的弱势表型,other,自身免疫应答
感小种1,other,TN1
光合能力,other,光合效率
总投资,other,流动资产投资
雄穗花序形态解剖学性状,other,雄穗花序
正德,other,嘉靖
胞内激酶结构域,other,XA21
植物茎轴形态解剖学特征,other,植物根茎
安农S-1,other,高温
L(+)-树胶醛糖,other,L(+)-阿戊糖
消减值,other,峰值粘度
生长率,other,初期体长
糙米长,other,糙米
总钠离子,other,钠钾含量比
浆片形态解剖学特征,other,浆片
稻穗,other,穗伸出度
钴离子浓度,other,植株
成熟期,other,压力
杨蜀岚,other,长穗颈高秆突变系eB-2
单板,other,面板
花序重量,other,研究
微卫星DNA,other,短串连重复
硒离子浓度,other,植株
avrPish,other,抗性
相对含水量,other,叶片
干重+水分,other,鲜重
国都,other,首要城市
硬油酸含量,other,植株
基因工程,other,遗传转化
N28S,other,籼S
单性生殖,other,遗传学
遗传互补实验,other,基因编码
电子计算机,other,电脑
水稻野败型,other,红莲型
收割,other,脱壳
遗传力,other,遗传率
化学应力敏感性,other,化学胁迫敏感性
18℃以下的温度,other,低温
脱壳籽粒,other,籽粒长宽比
突变,other,同源异形
L(+)-树胶醛糖,other,果胶糖
穗形态解剖学性状,other,穗子
镁离子浓度,other,植株
生长,other,周期
抗酶解淀粉,other,抗性淀粉
12月,other,一月
《时代周刊》,other,Time
蒸腾,other,气孔关闭
胁迫,other,气孔关闭
杂交不亲和性,other,远缘杂种表现不育
画面,other,水培
总钾离子,other,镁钾含量比
相对小穗数,other,小穗
茎秆,other,叶片
1cd,other,1000mcd
花器官形态解剖学特征,other,花器官
淀粉粒合成,other,检测
线粒体,other,蛋白
甜味,other,淀粉酶
大米,other,糠皮
细胞,other,染色体
效率,other,有用功率
单板,other,木皮
每穗瘪粒数,other,空粒数
国内生产总值,other,人均收入
破坏了RIM结构,other,对RDV的抗性
体型,other,生长率
海市蜃楼,other,光的折射和全反射
遗传互补实验,other,病原菌
地上节间形态解剖学性状,other,地上部
蝉无蛹期,other,蝉蛹是错误的
蜃景,other,光的折射和全反射
XA21,participate,免疫应答
XA21,participate,抗病性
XA21K736E,participate,抗病性
Ptr(t),participate,稻瘟病抗性
HAF,participate,Hd1积累
D3蛋白,participate,叶片衰老过程
D3蛋白,participate,黑暗诱导的植物叶片衰老过程
D3蛋白,participate,叶片细胞死亡过程
D3蛋白,participate,过氧化氢诱导的植物叶片细胞死亡过程
D3,participate,叶片衰老过程
D3,participate,黑暗诱导的植物叶片衰老过程
D3,participate,叶片细胞死亡过程
D3,participate,过氧化氢诱导的植物叶片细胞死亡过程
KNOX基因,participate,SAM的形成
KNOX基因,participate,调节SAM的形成
KNOX,participate,SAM的形成
KNOX,participate,调节SAM的形成
Oskn3,participate,器官定位模式的塑造
KNOX,participate,细胞命运决定
OsH15,participate,植物的发育
OsH15,participate,发育
OsH15,participate,调节SAM的形成
SPL5,participate,RNA的剪接
3b亚基3,participate,剪接
3b亚基3,participate,剪接调节细胞死亡和抗性应答的预成熟RNA
同源蛋白,participate,水稻侧芽生长
同源蛋白,participate,侧芽生长
OsCCD7,participate,独角金内酯生物合成
OsCCD7,participate,生物合成
贝壳杉烯氧化酶,participate,赤霉素生物合成
贝壳杉烯氧化酶,participate,赤霉素
贝壳杉烯氧化酶,participate,赤霉素生物合成早期步骤
效应子,participate,基因Xa13表达
Pib,participate,蛋白产物
组成因子,participate,植物免疫应答
OsRac1,participate,免疫反应
Pit,participate,免疫反应
Pi-9,participate,蛋白产物
乙烯,participate,ABA的降解
乙烯,participate,Sub1A的表达
Sub1A,participate,抑制因子SLR1和SLRL1的积累
sd1,participate,赤霉素的合成
GA20ox,participate,赤霉素合成
GA20ox,participate,催化GA53转换为GA20
OsDRP2B,participate,胞吞作用通路
OsDRP2B,participate,高尔基体后的跨膜运输
OsDRP2B,participate,纤维素合成
BC3,participate,纤维素的合成
OsDRP2B,participate,胞吞
OsDRP2B,participate,后高尔基体的跨膜转运
Ghd7基因编码的蛋白质,participate,开花
蛋白产物,participate,光敏色素生色团的生物合成
血红素加氧酶,participate,光敏色素发色团生物合成
主效基因,participate,调控光周期开花
FLO2,participate,耐热
OsRDR6参与的RNA沉默途径,participate,植株对病毒、细菌和真菌的防卫反应
SHL2编码RNA,participate,trans-acting小干扰RNA
ta-siRNA,participate,水稻花器官的近轴-远轴极性建成
miR166,participate,ta-siRNA的形成
DBS1,participate,器官的生长和发育
MIF4G域,participate,蛋白与病毒的交互识别作用
GluB-1,participate,合成谷蛋白
复合体,participate,mRNA帽子结构的固定
复合体,participate,核糖体的招募
过氧化氢,participate,水稻幼苗叶片中热激
过氧化氢,participate,镉诱导的抗坏血酸过氧化物酶
过氧化氢,participate,谷胱甘肽还原酶的表达
Rd,participate,水稻果皮原花色素的合成
Rd,participate,原花色素的合成
Rd,participate,果皮原花色素的合成
OsCKI1,participate,信号转导
OGR1,participate,线粒体转录本的RNA编辑
OGR1,participate,RNA编辑
包含bHLH结构的蛋白,participate,花青素的生物合成
包含bHLH结构的蛋白,participate,花青素
被OGR1进行RNA编辑的线粒体转录本,participate,线粒体电子传递链
线粒体转录本,participate,线粒体电子传递链
SPL基因,participate,开花时间的调节
SPL,participate,开花时间的调节
QTLs,participate,植物组织的细胞分裂素水平的调节
BPH18,participate,排趋性
BPH18,participate,抗生性
SGR,participate,参与PaO的活性
OsHTAS,participate,ABA参与
PM定位的XA21和XA21K736E,participate,水稻的抗病性
Ptr(t),participate,Pi-ta参与的稻瘟病抗性
HAF,participate,对Hd1积累的精细调控
CIATED1,participate,光周期诱导的开花
OsLHY,participate,节律钟的调节
Ehd1的同源二聚化,participate,诱导水稻开花
不依赖G蛋白,regulate,叶鞘伸长
OsCKX2,regulate,稻谷的产量
OsCKX2,regulate,细胞分裂素的积累
d1,regulate,对24-表油菜素内酯的敏感性
RGA1,regulate,耐旱性
细胞分裂受到抑制,regulate,d1突变体矮秆
D1,regulate,株高
D1的隐性突变,regulate,矮化
QTLGn1,regulate,粒数
Gn1a位点,regulate,每穗实粒数
qPS3,regulate,杂种花粉败育
FLW1,regulate,剑叶宽度
FLW2,regulate,剑叶宽度
MOC1,regulate,分蘖
一对显性基因,regulate,广谱抗性
Hd1mRNA的数量,regulate,促进抽穗
Hd1mRNA的数量,regulate,延迟抽穗
Hd1,regulate,穗粒数
Ehd基因,regulate,穗粒数
Hd1,regulate,水稻穗发育
Ehd1,regulate,水稻穗发育
Hd-1位点,regulate,抽穗期
Se-1,regulate,抽穗期
Hd-1位点,regulate,成熟
Se-1,regulate,成熟
来自Kasalath的等位基因,regulate,抽穗
Hd6等位基因,regulate,水稻抽穗
CK2α亚基,regulate,开花时间
Hd3a位点的等位基因,regulate,抽穗
传递通路,regulate,水稻的开花
Hd1和Ehd基因,regulate,穗粒数
置换,regulate,迟开花
水稻稻瘟病抗性基因,regulate,水稻稻瘟病
D3蛋白,regulate,分蘖芽的活性
SCFD3复合体,regulate,地上部分枝
D14,regulate,地上部分枝
腋生分生组织,regulate,分蘖芽
OSH15,regulate,发育
OSH15,regulate,节间细胞的形态和分化
OSH15,regulate,节间细胞的形态
OSH15,regulate,分化
OSH15,regulate,节间伸长
OSH15,regulate,分裂速率
OSH基因,regulate,异位芽
OSH基因,regulate,叶片的发育
OSH基因,regulate,叶处于未分化的状态
OSH15,regulate,水稻节间的发育
水稻温敏型雄性不育控制基因,regulate,水稻温敏型雄性不育
温敏雄性核不育基因,regulate,温敏雄性核不育
tms5,regulate,雄性不育
温敏雄性不育基因tms5,regulate,雄性不育
温敏雄性不育基因,regulate,雄性不育
Rf3,regulate,育性
Rf3,regulate,水稻野败型胞质雄性不育系的育性
Rf4(t),regulate,育性
育性恢复基因,regulate,育性
Rf4,regulate,育性
水稻野败型细胞质雄性不育恢复基因,regulate,育性
Rf6(t),regulate,育性
育性恢复基因,regulate,野败型胞质不育
D1,regulate,茎秆增粗
D1,regulate,叶片短且宽
D1,regulate,叶色暗绿
D1,regulate,穗形直立
D1,regulate,着粒紧密
D1,regulate,谷粒小而圆
d3突变,regulate,株高变矮
d3突变,regulate,分蘖增多
OSH15的缺失,regulate,植物矮化
Rf-WA-2,regulate,不育恢复
野败型胞质不育恢复基因,regulate,不育恢复
Rf6,regulate,育性
Spl-2基因位点,regulate,水稻斑点叶
SPL5,regulate,细胞死亡
SPL5,regulate,抗性应答
一对隐性基因,regulate,长穗颈高秆性状
eui2,regulate,长穗颈高秆性状
光敏色素,regulate,水稻节间的伸长
节间伸长控制基因,regulate,节间伸长
新矮秆基因,regulate,矮秆
隐性单基因,regulate,矮生性
sd-g,regulate,矮生性
白背飞虱抗性基因,regulate,白背飞虱抗性
Wbph6(t),regulate,抗性
显性抗性基因,regulate,抗性
黄绿叶基因,regulate,黄绿叶
非编码RNA,regulate,不育
PTMS12-1,regulate,不育
ptms12-1,regulate,不育
非编码RNA,regulate,粳稻农垦58S光敏型雄性不育
非编码RNA,regulate,籼稻培矮64S温敏雄性不育
tms1,regulate,温敏核不育
Os8N3,regulate,寄主感病
Xa13基因,regulate,抗病性
Xa13基因,regulate,生殖生长
Xa14,regulate,抗性
Xa16,regulate,对日本小种Ⅶ的抗性
Xa1,regulate,抗性
Xa2,regulate,抗性
Xa16,regulate,抗性
Pi-sh,regulate,稻瘟病抗性
稻瘟病抗性基因,regulate,稻瘟病抗性
eui1,regulate,高秆
EUI1,regulate,生长
sd1,regulate,育性
单隐性基因,regulate,茎叶脆嫩性状
xa28(t,regulate,LotaSail对小种2的抗性
ef1与Se1-e,regulate,Taichung65的BVP
Ef-1,regulate,基本营养生长
E1位点,regulate,水稻的抽穗期和成熟
ef-6位点,regulate,基本营养生长期
sh4基因,regulate,水稻落粒性
Bph13(t),regulate,抗褐飞虱性状
GS3位点,regulate,粒重
GS3位点,regulate,粒长
du-3,regulate,低直链淀粉含量
隐性单基因,regulate,低直链淀粉含量
"du-1,du-2,du-3,du-4和du-5",regulate,低直链淀粉含量
FC1,regulate,木质素的生物合成
FC1,regulate,水稻茎秆强度
显性早熟基因,regulate,完全显性早熟特性
S20,regulate,F1花粉半不育
S-25(t),regulate,半不育性
S21,regulate,F1花粉半不育
两个独立遗传的主基因,regulate,杂种育性
GS3,regulate,粒长粒重
DEP1,regulate,穗型
GS3,regulate,籽粒大小
GS3,regulate,粒重
GS3,regulate,粒长
GS3,regulate,粒宽
GS3,regulate,籽粒充实度
qGC-6,regulate,粳/籼杂交胶稠度
ef1-h基因,regulate,抽穗
ef1-h基因,regulate,成熟
ef1-h基因,regulate,基本营养生长
Hd2,regulate,长日照条件下抽穗期
Hd-2位点,regulate,抽穗期和成熟
SGP(t),regulate,水稻生育期
Ghd7,regulate,每穗粒数
Ghd7,regulate,株高
Ghd7,regulate,抽穗期多效性
Ghd7,regulate,每穗粒数、株高和抽穗期多效性
Hd2,regulate,抽穗期
hd7基因位点,regulate,每穗粒数、株高和抽穗期
flo-1基因位点,regulate,直链淀粉含量
FLO2,regulate,胚乳中储藏性物质
FLO2,regulate,水稻籽粒大小
FLO2,regulate,淀粉品质
flo-2基因位点,regulate,水稻的直链淀粉含量
SH4,regulate,离区发育
Pi-GD-1(t),regulate,对广东菌株RFDW-I的抗性
Pi-GD-3(t),regulate,对广东菌株RFDW-IV的抗性
Ge位点,regulate,水稻籽粒胚
Rhz3和Rhz2,regulate,地下茎性状
Twisteddwarf1(Td1),regulate,株高
Twisteddwarf1,regulate,株高
Td1,regulate,株高
Twisteddwarf1(Td1),regulate,叶卷曲
Twisteddwarf1,regulate,叶卷曲
Td1,regulate,叶卷曲
水稻显性半矮秆基因,regulate,茎秆节间的伸长
显性半矮秆基因,regulate,茎秆节间的伸长
sdk(t),regulate,1042-13半矮秆性状
eui基因,regulate,2428ha的株高
sd-1基因,regulate,2428ha的株高
sd-h(t),regulate,2428ha的株高
隐性矮秆基因,regulate,矮生性
d162(t),regulate,162d的矮生性
dj(t),regulate,江苏矮的矮生性
sd-s(t),regulate,矮生性
一组复等位基因,regulate,杂种一代育性
Rsb-2(t),regulate,抗性
Pi-hk1(t),regulate,黑壳子粳对北1的抗性
TAC1,regulate,分蘖角度
Hd(t),regulate,抽穗期
多个座位的基因,regulate,籼粳亚种间的杂种不育性
Lcr1(t),regulate,杂交不亲和性
bel,regulate,对除草剂苯达松敏感致死
du-2,regulate,低直链淀粉含量
du基因位点,regulate,直链淀粉含量
PROG1基因,regulate,匍匐生长习性
GIF蛋白,regulate,稻米组织
GIF蛋白,regulate,谷物中的淀粉数量
GIF1基因,regulate,蔗糖酶（转化酶）的活性
GIF1,regulate,蔗糖运输卸载和灌浆
Rd,regulate,水稻果皮的色泽
qSW5,regulate,水稻籽粒宽度
Spk(t),regulate,水稻的分蘖角度
Spk(t),regulate,分蘖角度
hwe1(t),regulate,F2杂种劣势
隐性半矮秆基因,regulate,矮生性状
osmyoXIB,regulate,水稻花粉的发育
SKC1,regulate,K+和Na+从根部向地上部的运输过程
ddu1,regulate,水稻株高
FON3,regulate,花器官的数目
SHA1,regulate,籽粒的落粒性
QTLqCL-3,regulate,茎高
DEP1,regulate,水稻产量
qPE9-1,regulate,水稻穗型
1对隐性主效基因,regulate,tac2突变性状
隐性主效基因,regulate,水稻分蘖角度
Pl基因位点,regulate,地上部分的颜色
gw9.1,regulate,每穗(实)粒数、穗长、穗着粒密度、稠穗期和株高等性状
gw9.1,regulate,每穗(实)粒数
gw9.1,regulate,穗长
gw9.1,regulate,穗着粒密度
gw9.1,regulate,稠穗期
gw9.1,regulate,株高
OSH15,regulate,伸长中的节间外面基层细胞的位置
同源异型基因,regulate,细胞或区域的建立
同源异型基因,regulate,躯体的决定
LTG1编码酪蛋白激酶,regulate,低温应答
G蛋白复合体,regulate,氮信号
qPE9-1,regulate,直立穗
qPE9-1,regulate,株型性状
qPE9-1,regulate,水稻产量
qPE-9,regulate,ABA介导的干旱胁迫响应
微RNA,regulate,基因表达
IPA1,regulate,水稻分蘖
HTD1,regulate,水稻侧芽生长
赤霉素,regulate,茎的伸长
GS3编码的蛋白,regulate,粒重
